Название,Цена,Описание,Характеристики,Фото
Винтовой компрессор Dalgakiran 50 7.5,956 080 руб.,"Винтовая компрессорная установка Tidy 50 с давлением 7,5 бар от официального дилера Dalgakiran компании ООО РусГрупп. Прямые поставки с завода-производителя. Тип компрессора маслозаполненный с ременным приводом. Дополнительные опции: В комплект поставки компрессор Dalgakiran Tidy 50 7.5 уже входят магистральные фильтры по очистки сжатого воздуха. Гарантия на винтовую пару 10 лет при условии обслуживания в сертифицированном сервис-центре.","Производительность:6.4 м³/мин Рабочее давление:7.5 бар Мин. давление:5.5 бар Производительность:6.4 м³/мин Рабочее давление:7.5 бар Мин. давление:5.5 бар Мощность:37 кВт Уровень шума:70 дБ Выход сжатого воздуха:1 1/4"" дюйм Габаритные размеры Д/Ш/В:1575x1030x1750 мм Масса:740 кг Производительность:6.6 м³/мин Рабочее давление:7.5 бар Мощность:37 кВт Производительность:6.8 м³/мин Рабочее давление:10 бар Мощность:45 кВт Производительность:7.09 м³/мин Рабочее давление:3 бар Мощность:18.5 кВт ",https://rusgroupp.ru/assets/images/products/279/tidy-50.png 
"Компрессор винтовой DPR D 110-7,5 по цене 2022 года",4 094 280 руб.,,Производительность:22.1 м³/мин Рабочее давление:7.5 бар Мощность:110 кВт Производительность:22.1 м³/мин Рабочее давление:7.5 бар Мощность:110 кВт Тип двигателя:Электрический Тип привода:Прямой Уровень шума:79 дБ Питание:380 В Выход сжатого воздуха:G 2” дюйм Габаритные размеры Д/Ш/В:2800x1600x2250 мм Масса:3150 кг Производительность:22.8 м³/мин Рабочее давление:7.5 бар Мощность:132 кВт Производительность:23.4 м³/мин Рабочее давление:7.5 бар Мощность:132 кВт Производительность:22.20 м³/мин Рабочее давление:7 бар Мощность:132 кВт ,https://rusgroupp.ru/assets/images/products/836/dpr-d.png https://rusgroupp.ru/assets/images/products/836/dpr-d-3.jpg https://rusgroupp.ru/assets/images/products/836/ban-dpr-d-110-7-2.jpg 
Винтовой компрессор Dalgakiran TIDY5-7,240 312 руб.,Винтовые компрессоры производства DALGAKIRAN (Турция)  занимают первое место на рынке: это премиальное европейское качество в среднем ценовом сегменте. Компрессорное оборудование DALGAKIRAN (Турция)   подойдет для предприятий с разной потребностью в сжатом воздухе. Бренд предлагает модели с мощностью двигателя от 2.2 до 315 кВт. На официальном сайте дилера вы можете купить компрессор производства DALGAKIRAN следующих серий: Винтовые компрессоры DALGAKIRAN  серии Tidy  Винтовая пара компрессора соединяется с электрическим двигателем посредством ременной передачи,"Производительность:0.56 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.56 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Мощность:4 кВт Тип привода:Прямой Уровень шума:69 дБ Питание:220 В Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:875x550x860 мм Масса:175 кг Производительность:0.56 м³/мин Рабочее давление:7.5 бар Мощность:4 кВт Производительность:1 м³/мин Рабочее давление:14 бар Мощность:11 кВт Производительность:0.8 м³/мин Рабочее давление:7.5 бар Мощность:5.5 кВт ",https://rusgroupp.ru/assets/images/products/181/tidy-5.png 
Винтовой компрессор Dalgakiran TIDY5-13,252 960 руб.,,"Производительность:0.35 м³/мин Рабочее давление:13 бар Мин. давление:4 бар Производительность:0.35 м³/мин Рабочее давление:13 бар Мин. давление:4 бар Мощность:4 кВт Уровень шума:69 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:1500x550x1350 мм Производительность:0.46 м³/мин Рабочее давление:10 бар Мощность:4 кВт Производительность:0.8 м³/мин Рабочее давление:7.5 бар Мощность:5.5 кВт Производительность:2.04 м³/мин Рабочее давление:10 бар Мощность:22.5 кВт ",https://rusgroupp.ru/assets/images/products/184/tidy-5.png 
Винтовой компрессор Dalgakiran TIDY5-7-200,278 800 руб.,,"Производительность:0.56 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.56 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Объем ресивера:200 литров Мощность:4 кВт Уровень шума:69 дБ Выход сжатого воздуха:1/2"" дюйм Встроенный осушитель:DK20 Габаритные размеры Д/Ш/В:875x550x860 мм Производительность:1.85 м³/мин Рабочее давление:13 бар Мощность:15 кВт Производительность:1.4 м³/мин Рабочее давление:10 бар Мощность:11 кВт Производительность:1.15 м³/мин Рабочее давление:8 бар Мощность:7 кВт ",https://rusgroupp.ru/assets/images/products/185/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/185/oze3249.png https://rusgroupp.ru/assets/images/products/185/oze3252.png https://rusgroupp.ru/assets/images/products/185/oze3258.png https://rusgroupp.ru/assets/images/products/185/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/185/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/185/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/185/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/185/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/185/tidy-5-compact.png 
Винтовой компрессор Dalgakiran TIDY4-7,252 620 руб.,,"Производительность:0.41 м³/мин Акция:1 Рабочее давление:7.5 бар Производительность:0.41 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Мощность:3 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:875x550x860 мм Масса:159 кг Производительность:0.77 м³/мин Рабочее давление:13 бар Мощность:7.5 кВт Производительность:0.46 м³/мин Рабочее давление:10 бар Мощность:4 кВт Производительность:2.4 м³/мин Рабочее давление:13 бар Мощность:18.5 кВт ",https://rusgroupp.ru/assets/images/products/193/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/193/oze3249.png https://rusgroupp.ru/assets/images/products/193/oze3252.png https://rusgroupp.ru/assets/images/products/193/oze3258.png https://rusgroupp.ru/assets/images/products/193/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/193/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/193/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/193/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/193/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/193/tidy-5-compact.png 
Винтовой компрессор Dalgakiran TIDY3-7,249 560 руб.,,"Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Мощность:2.2 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:875x550x860 мм Масса:157 кг Производительность:0.39 м³/мин Рабочее давление:13 бар Мощность:4 кВт Производительность:2 м³/мин Рабочее давление:7 бар Мощность:15.3 кВт Производительность:0.41 м³/мин Рабочее давление:7.5 бар Мощность:3 кВт ",https://rusgroupp.ru/assets/images/products/194/tidy-3.png 
Винтовой компрессор Dalgakiran TIDY3-7-200,275 400 руб.,,"Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Объем ресивера:200 литров Мощность:2.2 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:875x550x860 мм Масса:157 кг Производительность:1.4 м³/мин Рабочее давление:14.5 бар Мощность:15 кВт Производительность:2.1 м³/мин Рабочее давление:13 бар Мощность:18 кВт Производительность:0.7 м³/мин Рабочее давление:14 бар Мощность:7.5 кВт ",https://rusgroupp.ru/assets/images/products/195/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/195/oze3249.png https://rusgroupp.ru/assets/images/products/195/oze3252.png https://rusgroupp.ru/assets/images/products/195/oze3258.png https://rusgroupp.ru/assets/images/products/195/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/195/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/195/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/195/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/195/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/195/tidy-5-compact.png 
Винтовой компрессор Dalgakiran TIDY4-10,252 620 руб.,,"Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Мощность:3 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:875x550x860 мм Масса:159 кг Производительность:1.41 м³/мин Рабочее давление:10 бар Мощность:16.5 кВт Производительность:0.77 м³/мин Рабочее давление:13 бар Мощность:7.5 кВт Производительность:1.7 м³/мин Рабочее давление:8 бар Мощность:15 кВт ",https://rusgroupp.ru/assets/images/products/196/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/196/oze3249.png https://rusgroupp.ru/assets/images/products/196/oze3252.png https://rusgroupp.ru/assets/images/products/196/oze3258.png https://rusgroupp.ru/assets/images/products/196/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/196/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/196/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/196/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/196/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/196/tidy-5-compact.png 
Компрессор винтовой TIDY3-7-250D (Compact),338 980 руб.,,"Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Объем ресивера:250 литров Мощность:2.2 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Встроенный осушитель:DK10 Габаритные размеры Д/Ш/В:1500x550x1350 мм Масса:157 кг Производительность:2.2 м³/мин Рабочее давление:14.5 бар Мощность:18.5 кВт Производительность:0.39 м³/мин Рабочее давление:13 бар Мощность:4 кВт Производительность:0.4 м³/мин Рабочее давление:7.5 бар Мощность:3 кВт ",https://rusgroupp.ru/assets/images/products/197/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/197/oze3249.png https://rusgroupp.ru/assets/images/products/197/oze3252.png https://rusgroupp.ru/assets/images/products/197/oze3258.png https://rusgroupp.ru/assets/images/products/197/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/197/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/197/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/197/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/197/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/197/tidy-5-compact.png 
