Название,Цена,Описание,Характеристики,Фото
Дизельная мотопомпа TeknoWellpoint DP6-250 на шасси,по запросу,,Производительность:80-360 м3/час Напор:28 м Диаметр частиц:76 мм Производительность:80-360 м3/час Напор:28 м Диаметр частиц:76 мм Диаметр патрубков всасывания и нагнетания:150 мм Высота всасывания:8 м Модель:DP6-250 Производитель:TeknoWellpoint Страна-изготовитель:Италия Марка двигателя:DEUTZ 2011 Тип двигателя:Дизельный Исполнение:2-х колесное шасси с прицепным устройством Охлаждение:Воздушное Емкость топливного бака:180 л Габаритные размеры Д/Ш/В:1650х1200х1700 мм Топливо:Дизель Масса:950 кг ,https://rusgroupp.ru/assets/images/products/2137/mt-1.png 
Дизельная мотопомпа TeknoWellpoint DP6-250 на раме,по запросу,,Производительность:80-360 м3/час Напор:28 м Диаметр частиц:76 мм Производительность:80-360 м3/час Напор:28 м Диаметр частиц:76 мм Диаметр патрубков всасывания и нагнетания:150 мм Высота всасывания:8 м Модель:DP6-250 Производитель:TeknoWellpoint Страна-изготовитель:Италия / Германия Марка двигателя:DEUTZ 2011 Тип двигателя:Дизельный Исполнение:На раме BASE Охлаждение:Воздушное Емкость топливного бака:300 л Габаритные размеры Д/Ш/В:1650х1200х1700 мм Топливо:Дизель Масса:950 кг ,https://rusgroupp.ru/assets/images/products/2138/izobrazhenie-2022-10-21-130346579.png 
Дизельная мотопомпа EUROMACCHINE Victor Pumps S 150 mm на шасси,по запросу,,"Производительность:80-360 м3/час Мощность:31 кВт Напор:28 м Производительность:80-360 м3/час Мощность:31 кВт Напор:28 м Диаметр частиц:76 мм Диаметр патрубков всасывания и нагнетания:150 мм Высота всасывания:8 м Модель:Victor Pumps S 150 mm Производитель:EUROMACCHINE Страна-изготовитель:Германия / Италия Марка двигателя:Kohler KDI 1903M (США / Италия) Тип двигателя:Дизельный Исполнение:2-х колесное шасси с прицепным устройством (колеса, ось, дышло и опоры съемные) Охлаждение:Водяное Емкость топливного бака:300 л Габаритные размеры Д/Ш/В:2300 х 1400 х 1800 мм Топливо:Дизель Масса:850 кг ",https://rusgroupp.ru/assets/images/products/2139/izobrazhenie-2022-10-21-132351012.png 
Дизельная мотопомпа Atlas Copco (Varisco) R 150 WP FKL10 G11 TRAILER,по запросу,Мотопомпа R 150 WP FKL10 G11 TRAILER от известного производителя Atlas Copco (Varisco). Комплектуется надежным дизельным двигателем Kohler (про-во США). Удобное двухколесное шасси позволяет без проблем транспортировать по площадке. В наличии на складе в Москве. Доставка в любой регион России с помощью транспортных компаний.     ,Производительность:340 м3/час Мощность:31 кВт Напор:27.5 м Производительность:340 м3/час Мощность:31 кВт Напор:27.5 м Диаметр частиц:76 мм Диаметр патрубков всасывания и нагнетания:150 мм Высота всасывания:8 м Модель:R 150 WP FKL10 G11 TRAILER Производитель:Atlas Copco (Varisco) Марка двигателя:KDI 1903M Kohler (США) Тип двигателя:Дизельный Исполнение:Двухколесное шасси с прицепным устройством Охлаждение:Жидкостное Емкость топливного бака:150 л Габаритные размеры Д/Ш/В:2350х1410х1880 мм Топливо:Дизель Масса:790 кг Стартер:Электрический (аккумулятор в комплекте) ,https://rusgroupp.ru/assets/images/products/2140/izobrazhenie-2022-10-21-134935373.png 
Насос Yildiz YMK ¾,по запросу,,Производительность:0.4 м3/час Обороты:1400 об/мин Давление насоса:15 бар Производительность:0.4 м3/час Обороты:1400 об/мин Давление насоса:15 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:100 ºС ,https://rusgroupp.ru/assets/images/products/2149/pompa1.png 
Насос Yildiz YMK 1/2,по запросу,,Производительность:0.8 м3/час Обороты:1400 об/мин Давление насоса:15 бар Производительность:0.8 м3/час Обороты:1400 об/мин Давление насоса:15 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:100 ºС ,https://rusgroupp.ru/assets/images/products/2150/pompa1.png 
Насос Yildiz YMK 1,по запросу,,Производительность:2 м3/час Обороты:1400 об/мин Давление насоса:10 бар Производительность:2 м3/час Обороты:1400 об/мин Давление насоса:10 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:120 ºС ,https://rusgroupp.ru/assets/images/products/2151/pompa1.png 
Насос Yildiz YMK 1 1/2,по запросу,,Производительность:5.7 м3/час Обороты:1400 об/мин Давление насоса:12 бар Производительность:5.7 м3/час Обороты:1400 об/мин Давление насоса:12 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2152/pompa1.png 
Насос Yildiz YMKU 1 1/2,по запросу,,Производительность:6.7 м3/час Обороты:1400 об/мин Давление насоса:12 бар Производительность:6.7 м3/час Обороты:1400 об/мин Давление насоса:12 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2153/pompa1.png 
Насос Yildiz YMK 2,по запросу,,Производительность:9 м3/час Обороты:1400 об/мин Давление насоса:12 бар Производительность:9 м3/час Обороты:1400 об/мин Давление насоса:12 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2154/pompa1.png 
