Название,Цена,Описание,Характеристики,Фото
Осушитель сжатого воздуха DK 190,1 680 960 руб.,Осушитель сжатого воздуха рефрижераторного типа Dalgakiran DryAir DK190. Гарантированная точка росы +3oС и минимальные потери давления (~100 мБар) даже в тяжелых условиях эксплуатации. ,Производительность:61.6 м³/мин Рабочее давление:16 бар Мощность:6.16 кВт Производительность:61.6 м³/мин Рабочее давление:16 бар Мощность:6.16 кВт Питание:380 В Выход сжатого воздуха:DN100 дюйм Тип осушителя:Рефрижераторный Габаритные размеры Д/Ш/В:1397x847x1770 мм Масса:520 кг Точка росы:3 °C Тип фильтров:61003237 Хладогент:R134A Макс. температура окружающей среды:50 ºС Мин. температура окружающей среды:4 ºС Макс. температура на входе:60 ºС ,https://rusgroupp.ru/assets/images/products/1227/dk1.jpg https://rusgroupp.ru/assets/images/products/1227/dk2.jpg https://rusgroupp.ru/assets/images/products/1227/dk3.jpg https://rusgroupp.ru/assets/images/products/1227/dk4.jpg https://rusgroupp.ru/assets/images/products/1227/dk5.jpg 
Осушитель DH 160,147 900 руб.,,"Производительность:2.67 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:2.67 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:3/4 дюйм Тип осушителя:Рефрижераторный Габаритные размеры Д/Ш/В:625x510x910 мм Точка росы:3 °C Хладогент:R134A Макс. температура окружающей среды:45 ºС Мин. температура окружающей среды:4 ºС Макс. температура на входе:104 ºС Производительность:3.53 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3/4 дюйм Производительность:3.5 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1/2"" дюйм Производительность:3.33 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1'' дюйм ",https://rusgroupp.ru/assets/images/products/1280/dh.jpg 
Магистральный фильтр высокого давления Dalgakiran HG850 MX,47 940 руб.,,"Производительность:10 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Производительность:10 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Масса:6.4 кг Макс. температура на входе:65 ºС Ширина (A):133 мм Длина (B):138 мм Доп. размер (C):37.35 мм Доп. размер (D):250 мм Картридж:MX Отделение партикуля более:1 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.5 мг/м³ Цвет элемента:Синий Производительность:11.33 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:2"" дюйм Производительность:10 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:11 1/2'' дюйм Производительность:10 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:10 1/2'' дюйм ",https://rusgroupp.ru/assets/images/products/1536/hg.jpg 
Осушитель DH 212,177 480 руб.,,"Производительность:3.53 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:3.53 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:3/4 дюйм Тип осушителя:Рефрижераторный Габаритные размеры Д/Ш/В:625x510x910 мм Точка росы:3 °C Хладогент:R134A Макс. температура окружающей среды:45 ºС Мин. температура окружающей среды:4 ºС Макс. температура на входе:104 ºС Производительность:3.67 м³/мин Рабочее давление:45 бар Выход сжатого воздуха:3/4'' дюйм Производительность:4.17 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:1'' дюйм Производительность:5 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:11/4"" дюйм ",https://rusgroupp.ru/assets/images/products/1281/dh.jpg 
Магистральный фильтр высокого давления Dalgakiran HG850 MY,47 940 руб.,,"Производительность:10 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Производительность:10 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Масса:6.4 кг Макс. температура на входе:65 ºС Ширина (A):133 мм Длина (B):138 мм Доп. размер (C):37.35 мм Доп. размер (D):250 мм Картридж:MY Отделение партикуля более:0.01 мкм Падение давления:100 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.01 мг/м³ Цвет элемента:Красный Производительность:10 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:9 1/2'' дюйм Производительность:10 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Производительность:10 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:10 1/2'' дюйм ",https://rusgroupp.ru/assets/images/products/1537/hg.jpg 
Магистральный фильтр высокого давления Dalgakiran HG1200 MA,53 516 руб.,,"Производительность:14 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Производительность:14 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Масса:8.2 кг Макс. температура на входе:25 ºС Ширина (A):133 мм Длина (B):138 мм Доп. размер (C):37.35 мм Доп. размер (D):250 мм Картридж:MA Отделение партикуля более:0.01 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.003 мг/м³ Цвет элемента:Металлик Производительность:14.17 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:2 дюйм Производительность:14.18 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:2 '' дюйм Производительность:14.18 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:5 '' дюйм ",https://rusgroupp.ru/assets/images/products/1538/hg.jpg 
Магистральный фильтр высокого давления Dalgakiran HG1200 MX,53 516 руб.,,"Производительность:14 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Производительность:14 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Масса:8.2 кг Макс. температура на входе:65 ºС Ширина (A):133 мм Длина (B):138 мм Доп. размер (C):37.35 мм Доп. размер (D):250 мм Картридж:MX Отделение партикуля более:1 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.5 мг/м³ Цвет элемента:Синий Производительность:15 м³/мин Производительность:14.18 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3 '' дюйм Производительность:14.17 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:2"" дюйм ",https://rusgroupp.ru/assets/images/products/1539/hg.jpg 
Осушитель DRYER DMD 5,79 560 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ","Производительность:0.17 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:0.17 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:320x310x640 мм Масса:17 кг Адсорбент:Оксид алюминия Масса адсорбента:2.5 кг Точка росы:-40 °C Тип фильтров:GO20 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:1.42 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1 1/2'' дюйм Производительность:1.66 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2"" дюйм Производительность:0.52 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2 дюйм ",https://rusgroupp.ru/assets/images/products/1284/dmd1.jpg https://rusgroupp.ru/assets/images/products/1284/dmd2.jpg 
Магистральный фильтр высокого давления Dalgakiran HG1200 MY,53 516 руб.,,"Производительность:14 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Производительность:14 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1"" дюйм Масса:8.2 кг Макс. температура на входе:65 ºС Ширина (A):133 мм Длина (B):138 мм Доп. размер (C):44.4 мм Доп. размер (D):368 мм Картридж:MY Отделение партикуля более:0.01 мкм Падение давления:100 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.01 мг/м³ Цвет элемента:Красный Производительность:14.18 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:4 '' дюйм Производительность:14.17 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:2"" дюйм Производительность:14.18 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3 '' дюйм ",https://rusgroupp.ru/assets/images/products/1540/hg.jpg 
Осушитель DRYER DMD 10,92 480 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ","Производительность:0.33 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:0.33 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:320x310x910 мм Масса:23 кг Адсорбент:Оксид алюминия Масса адсорбента:4 кг Точка росы:-40 °C Тип фильтров:GO20 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:1.2 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1/4"" дюйм Производительность:1.16 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2 дюйм Производительность:0.83 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2'' дюйм ",https://rusgroupp.ru/assets/images/products/1285/dmd1.jpg https://rusgroupp.ru/assets/images/products/1285/dmd2.jpg 
