Название,Цена,Описание,Характеристики,Фото
Чиллер Pakcold94 KM,по запросу,"Чиллер Pakcold 94 KM на базе полугерметичного поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 131,1 кВт при температуре воды 20oС на входе / 15oС на выходе, температуре окружающего воздуха 25oС. Расход хладоагента 32 кг. Уровень шума 60 дБ на расстоянии 10 метров от чиллера. Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:131.1 кВт Тип компрессора:Полугерметичный поршневой Мощность компрессора:28.7 кВт Скорость охлаждения:131.1 кВт Тип компрессора:Полугерметичный поршневой Мощность компрессора:28.7 кВт Кол-во вентиляторов:2 Мощность вентилятора:1.8 кВт Кол-во насосов:1 Мощность насоса:5.5 кВт Производительность насоса:22549 л/ч Напор насоса:36 м.вод.ст. Объем емкости:510 л Заправка хладагента:32 кг Уровень шума:60 дБ Масса:1820 кг Габаритные размеры Д/Ш/В:2400x1250x2210 мм Присоединительные размеры испарителя, вход / выход:2 1/2"" Тип присоединения на испарителе:Резьбовое ",https://rusgroupp.ru/assets/images/products/2048/pakcold.jpg https://rusgroupp.ru/assets/images/products/2048/pakcold2.jpg https://rusgroupp.ru/assets/images/products/2048/pakcold3.jpg https://rusgroupp.ru/assets/images/products/2048/pakcold4.jpg 
Чиллер Pakcold110 KM,по запросу,"Чиллер Pakcold 110 KM на базе полугерметичного поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 153,3 кВт при температуре воды 20oС на входе / 15oС на выходе, температуре окружающего воздуха 25oС. Расход хладоагента 35 кг. Уровень шума 60 дБ на расстоянии 10 метров от чиллера. Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:153.3 кВт Тип компрессора:Полугерметичный поршневой Мощность компрессора:35.7 кВт Скорость охлаждения:153.3 кВт Тип компрессора:Полугерметичный поршневой Мощность компрессора:35.7 кВт Кол-во вентиляторов:2 Мощность вентилятора:1.8 кВт Кол-во насосов:1 Мощность насоса:5.5 кВт Производительность насоса:26368 л/ч Напор насоса:34 м.вод.ст. Объем емкости:540 л Заправка хладагента:35 кг Уровень шума:60 дБ Масса:1880 кг Габаритные размеры Д/Ш/В:2500x1250x2260 мм Присоединительные размеры испарителя, вход / выход:3"" Тип присоединения на испарителе:Резьбовое ",https://rusgroupp.ru/assets/images/products/2049/pakcold.jpg https://rusgroupp.ru/assets/images/products/2049/pakcold2.jpg https://rusgroupp.ru/assets/images/products/2049/pakcold3.jpg https://rusgroupp.ru/assets/images/products/2049/pakcold4.jpg 
Чиллер Pakcold 45 KM,по запросу,"Чиллер Pakcold 45 KM на базе полугерметичного поршневого / спирального компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 59,9 кВт при температуре воды 20oС на входе / 15oС на выходе, температуре окружающего воздуха 25oС. Расход хладоагента 20 кг. Уровень шума 56 дБ на расстоянии 10 метров от чиллера. Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:59.9 кВт Тип компрессора:Полугерметичный поршневой / Спиральный Мощность компрессора:12.4 кВт Скорость охлаждения:59.9 кВт Тип компрессора:Полугерметичный поршневой / Спиральный Мощность компрессора:12.4 кВт Кол-во вентиляторов:2 Мощность вентилятора:0.78 кВт Кол-во насосов:1 Мощность насоса:2.2 кВт Производительность насоса:10303 л/ч Напор насоса:34 м.вод.ст. Объем емкости:300 л Заправка хладагента:20 кг Уровень шума:56 дБ Масса:1170 кг Габаритные размеры Д/Ш/В:1750x1100x1850 мм Присоединительные размеры испарителя, вход / выход:2"" Тип присоединения на испарителе:Резьбовое ",https://rusgroupp.ru/assets/images/products/2050/pakcold.jpg https://rusgroupp.ru/assets/images/products/2050/pakcold2.jpg https://rusgroupp.ru/assets/images/products/2050/pakcold3.jpg https://rusgroupp.ru/assets/images/products/2050/pakcold4.jpg 
Чиллер EBSP-30.1,по запросу,"Чиллер EBSP-30.1 на базе поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 73,3 кВт при температуре воды 12oС на входе / 7oС на выходе, температуре входяшей в конденсатор воды 28oС.   Установки серии EBSP после покупки полностью готовы к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:73.3 кВт Тип компрессора:Поршневой Мощность компрессора:18.3 кВт Скорость охлаждения:73.3 кВт Тип компрессора:Поршневой Мощность компрессора:18.3 кВт Кол-во компрессоров:1 Регулирование производительности:2-х ступенчатое Масса:730 кг Габаритные размеры Д/Ш/В:2160x800x1225 мм Присоединительные размеры испарителя, вход / выход:2 1/2"" ",https://rusgroupp.ru/assets/images/products/2052/ebsp.jpg 
Чиллер EBSP-33.1,по запросу,"Чиллер EBSP-33.1 на базе поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 82,9 кВт при температуре воды 12oС на входе / 7oС на выходе, температуре входяшей в конденсатор воды 28oС. дБ на расстоянии 10 метров от чиллера. Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:82.9 кВт Тип компрессора:Поршневой Мощность компрессора:20.1 кВт Скорость охлаждения:82.9 кВт Тип компрессора:Поршневой Мощность компрессора:20.1 кВт Кол-во компрессоров:1 Регулирование производительности:2-х ступенчатое Масса:780 кг Габаритные размеры Д/Ш/В:2350x800x1225 мм Присоединительные размеры испарителя, вход / выход:2 1/2"" ",https://rusgroupp.ru/assets/images/products/2053/ebsp.jpg 
Чиллер EBSP-35.1,по запросу,"Чиллер EBSP-35.1 на базе поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 96,4 кВт при температуре воды 12oС на входе / 7oС на выходе, температуре входяшей в конденсатор воды 28oС. дБ на расстоянии 10 метров от чиллера. Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:96.4 кВт Тип компрессора:Поршневой Мощность компрессора:23.3 кВт Скорость охлаждения:96.4 кВт Тип компрессора:Поршневой Мощность компрессора:23.3 кВт Кол-во компрессоров:1 Регулирование производительности:2-х ступенчатое Масса:810 кг Габаритные размеры Д/Ш/В:2450x800x1250 мм Присоединительные размеры испарителя, вход / выход:2 1/2"" ",https://rusgroupp.ru/assets/images/products/2054/ebsp.jpg 
Чиллер EBSP-40.1,по запросу,"Чиллер EBSP-40.1 на базе поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 110 кВт при температуре воды 12oС на входе / 7oС на выходе, температуре входяшей в конденсатор воды 28oС.   дБ на расстоянии 10 метров от чиллера.  Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:110 кВт Тип компрессора:Поршневой Мощность компрессора:27.5 кВт Скорость охлаждения:110 кВт Тип компрессора:Поршневой Мощность компрессора:27.5 кВт Кол-во компрессоров:1 Регулирование производительности:2-х ступенчатое Масса:870 кг Габаритные размеры Д/Ш/В:2560x850x1350 мм Присоединительные размеры испарителя, вход / выход:2 1/2"" ",https://rusgroupp.ru/assets/images/products/2055/ebsp.jpg 
Чиллер EBSP-50.1,по запросу,"Чиллер EBSP-50.1 на базе поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 131,4 кВт при температуре воды 12oС на входе / 7oС на выходе, температуре входяшей в конденсатор воды 28oС.   дБ на расстоянии 10 метров от чиллера.  Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:131.4 кВт Тип компрессора:Поршневой Мощность компрессора:34.5 кВт Скорость охлаждения:131.4 кВт Тип компрессора:Поршневой Мощность компрессора:34.5 кВт Кол-во компрессоров:1 Регулирование производительности:2-х ступенчатое Масса:940 кг Габаритные размеры Д/Ш/В:2200x850x1350 мм Присоединительные размеры испарителя, вход / выход:2 1/2"" ",https://rusgroupp.ru/assets/images/products/2056/ebsp.jpg 
Чиллер EBSP-60.1,по запросу,"Чиллер EBSP-60.1 на базе поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 165,8 кВт при температуре воды 12oС на входе / 7oС на выходе, температуре входяшей в конденсатор воды 28oС.   дБ на расстоянии 10 метров от чиллера.  Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:165.8 кВт Тип компрессора:Поршневой Мощность компрессора:41.6 кВт Скорость охлаждения:165.8 кВт Тип компрессора:Поршневой Мощность компрессора:41.6 кВт Кол-во компрессоров:1 Регулирование производительности:2-х ступенчатое Масса:1200 кг Габаритные размеры Д/Ш/В:2200x900x1425 мм Присоединительные размеры испарителя, вход / выход:3"" ",https://rusgroupp.ru/assets/images/products/2057/ebsp.jpg 
Чиллер EBSP-70.1,по запросу,"Чиллер EBSP-70.1 на базе поршневого компрессора обеспечивает охлаждение воды в соответствии с холодопроизводительностью 196,2 кВт при температуре воды 12oС на входе / 7oС на выходе, температуре входяшей в конденсатор воды 28oС.   дБ на расстоянии 10 метров от чиллера.  Установки серии Pakcold разработаны для размещения на улице. Чиллер соответствует стандартам качества ISO 9001:2000. После покупки полностью готов к эксплуатации. Все компоненты подключены, установка заправлена маслом и хладоагетом.","Скорость охлаждения:196.2 кВт Тип компрессора:Поршневой Мощность компрессора:51.6 кВт Скорость охлаждения:196.2 кВт Тип компрессора:Поршневой Мощность компрессора:51.6 кВт Кол-во компрессоров:1 Регулирование производительности:2-х ступенчатое Масса:1350 кг Габаритные размеры Д/Ш/В:2200x900x1425 мм Присоединительные размеры испарителя, вход / выход:3"" ",https://rusgroupp.ru/assets/images/products/2058/ebsp.jpg 
